trial,grp,censored,futime ,etime1,etime2,etime3,etime4,etime5,etime6,etime7,etime8,etime9,etime10
1,0,0,509298,,,,,,,,,,
2,0,0,139514,,,,,,,,,,
3,0,1,536105,,,,,,,,,,
4,0,1,151014,,,,,,,,,,
5,0,1,163578,,,,,,,,,,
6,1,1,117682,47834,83694,,,,,,,,
7,1,1,129426,35821,129082,,,,,,,,
8,1,1,285838,23826,283018,,,,,,,,
9,0,1,253172,,,,,,,,,,
10,0,1,5462,,,,,,,,,,
12,1,1,80056,77322,,,,,,,,,
13,1,1,24786,24147,,,,,,,,,
14,1,0,153338,11958,25278,29305,32127,97036,100649,103737,103871,114418,120910
15,1,1,64003,63822,,,,,,,,,
16,1,1,357766,224865,309761,,,,,,,,
17,1,1,116510,115139,,,,,,,,,
18,1,1,296247,123540,201923,287484,296084,,,,,,
19,1,1,160956,143215,160930,,,,,,,,
20,0,0,88402,,,,,,,,,,
21,0,0,341814,,,,,,,,,,
22,0,1,61623,,,,,,,,,,
23,1,1,274177,273034,,,,,,,,,
24,1,1,164455,26835,,,,,,,,,
25,1,1,277579,128880,146999,218782,227684,273012,,,,,
26,0,1,89677,,,,,,,,,,
27,1,0,259818,61695,146143,211459,231756,236999,,,,,
